id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
219066,106.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.78,False,3.0,29,40.61943,-73.99232,NYC
219922,91.0,1,Private room,1.0,2.0,1.0,Manhattan,30,False,4.75,False,2.0,38,40.81553,-73.95438,NYC
222304,141.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.81,False,1.0,85,40.7401,-74.00019,NYC
223930,150.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.81,False,1.0,364,40.67319,-73.96804,NYC
225354,182.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.8,False,1.0,328,40.71085,-73.96672,NYC
225976,80.0,3,Entire home/apt,1.0,1.0,1.0,Staten Island,30,True,4.61,True,1.0,305,40.61019,-74.06757,NYC
151199,275.0,3,Entire home/apt,2.0,2.0,1.0,Queens,2,False,4.86,True,2.0,280,40.7573,-73.91488,NYC
152263,248.0,3,Private room,1.0,2.0,1.0,Manhattan,2,False,4.82,True,2.0,313,40.80493,-73.94999,NYC
157673,69.0,4,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.49,False,2.0,274,40.68096,-73.94062,NYC
158061,162.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.54,False,4.0,365,40.68511,-73.91927,NYC
228317,161.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.9,False,1.0,364,40.68563832502508,-73.92470229417086,NYC
230877,145.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.91,True,4.0,53,40.79147,-73.94629,NYC
232612,108.0,2,Private room,1.0,1.0,1.0,Brooklyn,3,False,4.87,True,3.0,62,40.68518847176618,-73.94268839549034,NYC
233638,83.0,2,Private room,1.0,2.0,1.0,Queens,30,False,4.74,False,5.0,365,40.70132,-73.90883,NYC
235552,288.0,6,Entire home/apt,3.0,4.0,2.0,Brooklyn,30,False,4.92,False,1.0,215,40.66386,-73.98519,NYC
